title,price,img-src,link_produkt-href,chipset,ram,dlugosc,taktowanie,part_number
PNY GEFORCE 8400GS 512MB,"154,90 zł",https://images.morele.net/i256/14963733_0_i256.jpg,https://www.morele.net/pny-geforce-8400gs-512mb-gm84w0sn2f48h-0tp-14963733/,,,,,GM84W0SN2F48H/0TP
AMD Karta Graficzna AMD FirePro W5000 2GB GDDR5 DVI DisplayPort uniwersalny,154 zł,https://images.morele.net/i256/7296404_0_i256.jpg,https://www.morele.net/karta-graficzna-amd-karta-graficzna-amd-firepro-w5000-2gb-gddr5-dvi-displayport-uniwersalny-7296404/,,,,,
AFOX GeForce GT 610 1GB DDR3,145 zł,https://images.morele.net/i256/12995889_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-gt-610-1gb-ddr3-af610-1024d3l7-v6-12995889/,GeForce GT 610,Brak danych,Brak danych,Nie dotyczy,AF610-1024D3L7-V6
AFOX GeForce 210 512MB DDR3,"124,75 zł",https://images.morele.net/i256/12242927_0_i256.jpg,https://www.morele.net/karta-graficzna-afox-geforce-210-512mb-ddr3-af210-512d3l3-v2-12242927/,GeForce GT 210,Brak danych,Brak danych,Nie dotyczy,AF210-512D3L3-V2
PNY GeForce 8400GS 512MB DDR3,124 zł,https://images.morele.net/i256/13864683_0_i256.jpg,https://www.morele.net/karta-graficzna-pny-geforce-8400gs-512mb-ddr3-gm84w0sn2f49h-0tm-13864683/,GeForce 8400GS,Brak danych,Brak danych,Brak danych,GM84W0SN2F49H+0TM
NVIDIA Quadro T400 4GB GDDR6,"793,04 zł",https://images.morele.net/i256/13133365_2_i256.jpg,https://www.morele.net/karta-graficzna-nvidia-quadro-t400-4gb-gddr6-900-5g172-2240-000-13133365/,Quadro T400,156 mm,156 mm,1425 MHz,900-5G172-2240-000
AFOX Radeon R5 220 1GB DDR3,"157,01 zł",https://images.morele.net/i256/12242929_3_i256.jpg,https://www.morele.net/karta-graficzna-afox-radeon-r5-220-1gb-ddr3-afr5220-1024d3l5-12242929/,Radeon R5 220,Brak danych,Brak danych,Nie dotyczy,AFR5220-1024D3L5
Asus Prime GeForce RTX 5080 OC 16GB GDDR7,"6 471,99 zł",https://images.morele.net/i256/14485259_0_i256.jpg,https://www.morele.net/karta-graficzna-asus-prime-geforce-rtx-5080-oc-16gb-gddr7-prime-rtx5080-o16g-14485259/,GeForce RTX 5080,306 mm,306 mm,Brak danych,PRIME-RTX5080-O16G
Palit GeForce RTX 3070 Ti GameRock 8GB GDDR6X,"5 205,45 zł",https://images.morele.net/i256/5948149_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-3070-ti-gamerock-8gb-gddr6x-ned307t019p2-1047g-5948149/,GeForce RTX 3070 Ti,304 mm,304 mm,1770 MHz,NED307T019P2-1047G
Palit GeForce RTX 5070 Ti GamingPro OC 16GB GDDR7 DLSS4,4 769 zł,https://images.morele.net/i256/14731807_0_i256.jpg,https://www.morele.net/karta-graficzna-palit-geforce-rtx-5070-ti-gamingpro-oc-16gb-gddr7-dlss4-ne7507ts19t2-gb2031a-14731807/,,,,,NE7507TS19T2-GB2031A
POWERCOLOR Hellhound Radeon RX 9070 XT 16GB GDDR6,"3 785,44 zł",https://images.morele.net/i256/14749710_1_i256.jpg,https://www.morele.net/karta-graficzna-powercolor-hellhound-radeon-rx-9070-xt-16gb-gddr6-rx9070xt-16g-l-oc-14749710/,Radeon RX 9070 XT,327 mm,327 mm,3010 MHz,RX9070XT 16G-L/OC
Sapphire Pulse Radeon RX 9070 16GB GDDR6,"3 192,85 zł",https://images.morele.net/i256/14732578_0_i256.jpg,https://www.morele.net/karta-graficzna-sapphire-pulse-radeon-rx-9070-16gb-gddr6-11349-03-20g-14732578/,Radeon RX 9070,280 mm,280 mm,2520 MHz,11349-03-20G
Asus Dual Radeon RX 7600 EVO OC 8GB GDDR6,1 089 zł,https://images.morele.net/i256/14405446_11_i256.jpg,https://www.morele.net/karta-graficzna-asus-dual-radeon-rx-7600-evo-oc-8gb-gddr6-dual-rx7600-o8g-evo-14405446/,Radeon RX 7600,229 mm,229 mm,2715 MHz,DUAL-RX7600-O8G-EVO
ASRock Radeon RX 6500 XT Phantom Gaming OC 8GB GDDR6,"847,35 zł",https://images.morele.net/i256/13261938_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-radeon-rx-6500-xt-phantom-gaming-oc-8gb-gddr6-rx6500xt-pg-8go-13261938/,Radeon RX 6500 XT,240 mm,240 mm,2825 MHz,RX6500XT PG 8GO
Gigabyte Radeon RX 6400 Eagle 4GB GDDR6,"728,79 zł",https://images.morele.net/i256/10187569_1_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-radeon-rx-6400-eagle-4gb-gddr6-gv-r64eagle-4gd-10187569/,Radeon RX 6400,192 mm,192 mm,2321 MHz,GV-R64EAGLE-4GD
ASRock Radeon RX 6400 Challenger ITX 4GB GDDR6,"590,79 zł",https://images.morele.net/i256/10246227_0_i256.jpg,https://www.morele.net/karta-graficzna-asrock-radeon-rx-6400-challenger-itx-4gb-gddr6-rx6400-cli-4g-10246227/,Radeon RX 6400,162 mm,162 mm,2321 MHz,RX6400 CLI 4G
Gigabyte GeForce RTX 5090 Gaming OC 32GB GDDR7,13 499 zł,https://images.morele.net/i256/14485560_9_i256.jpg,https://www.morele.net/karta-graficzna-gigabyte-geforce-rtx-5090-gaming-oc-32gb-gddr7-gv-n5090gaming-oc-32gd-14485560/,GeForce RTX 5090,342 mm,342 mm,2550 MHz,GV-N5090GAMING OC-32GD
